cph,easting,northing,cattle,pigs,sheep,goats,deer
8/315/69,367876,512853,24,0,269,3,0
8/315/76,368252,513310,64,0,337,0,0
8/315/79,369800,509900,58,0,922,0,0
8/315/84,369800,509600,0,0,106,4,0
8/315/9011,368600,514300,48,0,355,0,0
8/316/9,375500,514600,85,0,316,0,0
8/316/18,376800,513600,77,0,676,0,0
8/316/28,375600,513200,36,0,971,0,0
8/317/12,379803,508287,107,0,1185,0,0
8/317/21,378200,508200,0,0,4147,0,0
8/321/4,363200,526800,234,0,267,0,0
8/321/8,363860,525830,322,0,609,0,0
8/321/15,363200,525600,83,0,231,0,0
8/321/50,364093,527324,372,0,0,0,0
8/321/52,363600,525400,0,0,116,3,0
8/321/53,365100,527200,787,1,412,0,0
8/321/54,365451,526163,20,0,85,0,0
8/321/55,363700,525900,0,0,373,0,0
8/322/2,368200,526900,0,0,103,0,0
8/322/3,367100,526300,77,0,902,0,0
8/322/9,366400,525500,367,0,660,0,0
8/322/52,366500,524800,200,0,2064,0,0
31/193/9015,409000,581000,10,2,118,9,0
31/338/351,384600,550300,24,1,2085,7,0
8/324/14,365100,529000,267,0,5536,0,0
31/367/9021,381766,567431,10,1,140,1,0
8/324/49,367264,530092,164,0,1170,0,0
12/31/499,417000,537700,4,15,1,0,0
8/325/6,377600,506700,0,0,4865,0,0
8/325/10,377500,506900,0,0,4189,0,0
8/327/12,383900,510800,207,0,2735,0,0
8/327/16,382600,514300,20,0,253,0,0
8/327/31,382400,512600,98,0,389,0,0
8/327/38,382800,513500,114,0,989,0,0
8/327/55,383200,513700,6,0,0,1,0
8/327/66,386500,513500,61,0,815,0,0
8/327/129,384400,512000,0,0,104,0,0
8/328/1,368500,515100,235,0,0,0,0
8/330/23,375100,510900,177,0,0,0,0
8/330/54,371900,511000,212,0,1547,0,0
8/331/4,361200,527100,41,0,110,0,0
8/331/6,361000,527400,210,0,772,0,0
8/331/8,361096,527091,35,667,89,0,0
8/331/11,361100,526100,162,0,807,0,0
8/333/3,373000,513800,111,0,521,0,0
8/333/35,371146,518902,180,0,2391,0,0
8/333/82,373100,516100,164,0,266,0,0
8/333/85,378041,519584,58,8,336,0,0
8/333/91,373600,515700,173,0,0,0,0
8/334/8,377100,504500,16,0,483,0,0
8/335/2,377100,511800,253,0,452,0,0
8/335/5,378000,510500,167,0,402,0,0
8/335/6,380300,510000,200,0,2915,0,0
8/335/11,376900,511600,116,0,11,0,0
8/335/14,377900,511900,78,0,204,0,0
48/18/6000,443424,496042,8,2,1,0,0
48/49/84,450068,494678,75,1,42,0,0
48/75/9008,427156,503277,1,1,162,0,0
48/76/3,424500,499700,12,3,1,0,0
48/76/49,426000,501100,2,2,58,0,0
48/76/50,425000,500400,20,3,155,0,0
48/76/7001,425524,502076,84,1,173,0,0
