cph,i,n,r,type
31/69/33,105.773955523709,110,111,IP
31/69/104,39.2309701633312,48,53,IP
31/179/23,44.2111569331973,48,51,IP
31/185/22,63.3765763273187,67,68,IP
31/276/2,56.259643626801,59,61,IP
31/276/19,49.1120844069663,56,58,IP
31/276/31,54.5421153141426,57,58,IP
31/280/32,50.6116299457112,54,56,IP
31/280/47,52.6518919643069,58,59,IP
31/338/25,205.258049954983,207,208,IP
31/338/137,200.426875358138,204,205,IP
31/338/142,203.444821366515,206,206,IP
31/338/147,203.879908360138,206,207,IP
31/338/150,205.628041529488,207,207,IP
31/338/169,202.342462023475,207,209,IP
31/338/198,203.25949758845,205,205,IP
31/338/276,202.278957800602,206,206,IP
31/350/23,56.7825640335015,59,61,IP
31/372/22,228.29296867716,232,232,IP
31/372/23,237.125420188142,239,222,IP
31/372/32,207.715171431035,215,217,IP
31/372/34,205.089481680723,210,212,IP
31/373/89,225.423698909051,228,228,IP
31/409/8,216.000977131367,219,220,IP
31/480/11,29.3095065726371,36,40,IP
31/480/12,26.7618380607571,30,34,IP
31/480/16,32.5174886155336,39,41,IP
31/480/23,20.8672831772153,30,29,IP
31/499/77,19.5405757568771,23,25,IP
31/499/127,46.8615669931208,49,50,IP
31/506/25,57.8513080240507,59,61,IP
31/530/10,34.4878548219149,45,46,IP
48/4/14,109.384758303892,111,112,IP
48/8/7,132.78176090622,138,138,IP
48/18/17,111.343467399193,115,115,IP
48/19/6,125.509218368503,129,131,IP
48/60/12,50.3860032564863,54,55,IP
48/60/21,59.3469050454424,61,62,IP
48/67/52,69.3202845431924,75,75,IP
48/77/1,71.2985447216829,75,76,IP
48/77/5,61.2901722532111,63,63,IP
48/149/27,125.741646716314,129,130,IP
48/149/32,122.420104052939,126,126,IP
48/313/4,105.498800312022,108,108,IP
48/313/12,120.997330751549,127,119,IP
48/316/2,116.104573178871,118,119,IP
48/319/7,80.7299333901324,83,83,IP
48/355/1,81.802868766033,88,89,IP
48/414/20,51.3922771901208,56,57,IP
48/434/9,124.559324591772,128,130,IP
48/474/2,177.8203038679,180,181,IP
48/474/14,165.548446322237,170,170,IP
48/474/16,174.510016279384,177,177,IP
48/476/65,150.843710342744,156,158,IP
48/480/35,144.583848372119,149,150,IP
48/480/86,129.949423828885,142,143,IP
48/480/94,142.269327671153,145,145,IP
48/480/110,147.760286563806,154,155,IP
48/483/4,176.58919769567,179,180,IP
48/538/11,157.293592444836,163,164,IP
31/56/42,58.7906523639774,63,64,IP
31/69/106,50.0267833889701,53,54,IP
31/193/17,47.6499150370657,51,54,IP
31/239/17,48.9519633851383,53,54,IP
31/239/35,54.5004858519706,59,61,IP
31/372/54,216.151606832491,221,222,IP
31/372/56,224.152133573376,226,227,IP
31/372/78,49.8138226335828,54,56,IP
31/373/9,222.292535575414,228,228,IP
48/393/8,48.6549693092678,55,56,IP
48/393/22,57.995159533079,66,66,IP
48/501/24,60.1018137720439,64,65,IP
48/501/106,143.509215200087,147,147,IP
8/329/74,228.503711655953,232,232,IP
8/330/10,146.324133285537,148,149,IP
8/391/8,116.87970248498,122,122,IP
8/391/9,109.531665197066,115,115,IP
8/391/15,119.111244123584,121,122,IP
8/391/40,126.424571888983,130,130,IP
8/395/3,153.794086611877,156,157,IP
8/395/5,180.102250112774,182,183,IP
8/395/7,173.557154468802,180,181,IP
8/395/8,174.416551059432,175,175,IP
8/311/57,61.2683623386968,63,64,IP
8/319/18,186.307807705119,194,195,IP
8/319/23,196.41189111079,200,200,IP
8/145/24,68.4002895271434,71,71,IP
12/12/104,65.2287504094305,70,72,IP
8/309/13,203.964292107408,207,208,IP
8/312/1,203.839963326052,211,212,IP
8/315/82,215.655068713854,220,221,IP
8/320/7,168.169255523654,172,172,IP
8/327/57,218.948444809171,220,220,IP
30/618/6509,17.3798943487175,26,26,IP
12/31/8002,23.1725114128568,25,27,IP
4/529/15,43.4988243557539,45,46,IP
8/139/6510,48.5347373726903,53,55,IP
12/699/6501,54.279272827201,67,67,IP
12/140/6500,65.4887365008525,69,69,IP
8/318/6501,72.6697899417184,75,76,IP
31/192/6500,74.8388238463004,77,78,IP
12/93/142,67.5120961938481,80,82,IP
8/314/6507,80.2757351091517,85,85,IP
48/319/6500,84.8788606828824,88,89,IP
48/8/6503,129.160225744066,130,130,IP
8/405/6533,129.643044607814,132,133,IP
8/405/6504,131.012600299207,133,133,IP
