cph,easting,northing,cattle,pigs,sheep,goats,deer
31/371/6506,387000,563400,0,0,0.0232970764752369,0,0
31/531/38,378500,565400,0,0,0.146771581793992,0,0
31/372/6506,394000,559000,0,0,0.232970764752369,0,0
31/373/2,393900,559000,0,0,0.428666207144358,0,0
12/182/6501,410700,539800,0,0,0.116485382376184,0,0
31/372/6518,392300,553400,0.375520247208718,0,0.377412638898837,0,0
31/185/6506,373300,565800,0.114288770889610,0,0.125804212966279,0,0
8/169/10,362800,534900,0.963291068926712,0,2.56034870462853,0,0
8/169/13,363400,535200,2.43271812322170,0,1.54692587795573,0,0
12/265/134,424400,541600,0.0326539345398885,0.0192948716390186,3.87896323312694,38.9401373895976,0
30/621/7004,421200,564500,0.538789919908161,0.0192948716390186,10.3322534167676,15.5760549558391,0
30/621/9127,421600,569900,0.9959450034666,0.0192948716390186,0.279564917702843,7.78802747791953,0
30/748/163,414100,562200,11.5758197943905,0.115769229834112,0.0559129835405685,10.3840366372260,0
30/748/179,414100,559400,0.0163269672699443,0.0192948716390186,0.291213455940461,7.78802747791953,0
30/748/9085,418300,560800,0.0163269672699443,0.0964743581950931,0.00232970764752369,31.1521099116781,0
30/748/9147,412700,561500,0.653078690797771,0.0385897432780373,0.0489238605979974,10.3840366372260,0
8/170/220,361000,517500,1.51840795610482,0.0385897432780373,1.11127054786880,10.3840366372260,0
4/755/7001,449400,522000,0.065307869079777,0.42448717605841,0.00232970764752369,5.19201831861302,0
4/757/6,447300,514700,2.05719787601298,0.617435892448596,0.270246087112748,23.3640824337586,0
8/139/338,370600,544900,0.0163269672699443,0.0385897432780373,0.309851117120650,5.19201831861302,0
8/149/28,361066,539499,0.244904509049164,0.0192948716390186,0.295872871235508,5.19201831861302,0
8/309/174,368936,520117,0.0163269672699443,0.0192948716390186,2.16895781984455,28.5561007523716,0
8/398/41,363100,521000,0.163269672699443,0.0385897432780373,0.0326159070653316,10.3840366372260,0
8/124/3,366800,571100,1.58371582518459,0,4.05602101433874,0,0
8/139/202,370600,547800,2.31842935233209,0,6.05491017591406,0,0
8/145/4,364700,532600,3.05314287947958,0,3.31983339772125,0,0
8/145/6,369701,534747,0.277558443589053,0,6.44397135305052,0,0
8/145/15,363400,530600,1.25717647978571,0,1.86143641037143,0,0
8/169/16,362275,538352,3.59193279938774,0,2.77701151584824,0,0
8/169/30,361100,537200,5.35524526454172,0,4.10494487493674,0,0
8/169/45,361600,537100,2.61231476319108,0,3.90691972489722,0,0
8/169/81,362596,533993,0.130615738159554,0,0.342467024185982,0,0
8/170/5003,361525,537530,0.146942705429498,0.0385897432780373,0.326159070653316,0,0
8/309/1,367737,521513,0.865329265307046,0,2.94009105117489,0,0
8/309/4,369631,520714,2.05719787601298,0,2.83292449938880,0,0
8/309/41,366839,521199,5.6817846099406,0,0,0,0
8/309/46,367096,520614,2.12250574509275,0,0.72686878602739,0,0
8/309/50,368466,519120,1.02859893800649,0,0.28422433299789,0,0
8/309/86,368422,520050,6.69405658067715,0,0.712890540142248,0,0
8/309/92,368936,519696,0.375520247208718,0,1.87075524096152,0,0
8/309/163,368500,521400,0.0326539345398885,0,0.0442644453029501,0,0
8/311/8,378456,515053,0.0979618036196656,0,0.56844866599578,0,0
8/315/9,365000,513300,2.44904509049164,0,8.11204202867748,0,0
8/315/10,368600,513800,0.587770821717994,0.463076919336447,0.295872871235508,20.7680732744521,0
8/315/15,366700,512400,1.22452254524582,0,2.95173958941251,0,0
8/315/24,371400,512900,2.30210238506214,0,2.06179126805846,0,0
8/315/41,367700,511800,3.33070132306863,0,0.670955802486822,0,0
8/315/47,371200,510900,2.97150804312986,0,3.79043434252104,0,0
8/315/48,371200,512600,2.59598779592114,0,2.3995988769494,0,0
8/315/49,370434,510899,1.97556303966326,0,2.39028004635930,0,0
8/315/50,368385,513259,3.33070132306863,0,6.08286666768435,0,0
8/315/53,367700,514800,0,0,1.19281031553213,0,0
8/315/69,367876,512853,0.391847214478662,0,0.626691357183872,7.78802747791953,0
8/315/76,368252,513310,1.04492590527643,0,0.785111477215483,0,0
8/315/79,369800,509900,0.946964101656767,0,2.14799045101684,0,0
8/315/84,369800,509600,0,0,0.246949010637511,10.3840366372260,0
8/315/9011,368600,514300,0.783694428957325,0,0.82704621487091,0,0
8/316/9,375500,514600,1.38779221794526,0,0.736187616617485,0,0
8/316/18,376800,513600,1.25717647978571,0,1.57488236972601,0,0
8/316/28,375600,513200,0.587770821717994,0,2.2621461257455,0,0
8/317/12,379803,508287,1.74698549788404,0,2.76070356231557,0,0
8/317/21,378200,508200,0,0,9.66129761428073,0,0
8/321/4,363200,526800,3.82051034116696,0,0.622031941888825,0,0
8/321/8,363860,525830,5.25728346092205,0,1.41879195734193,0,0
8/321/15,363200,525600,1.35513828340537,0,0.538162466577972,0,0
8/321/50,364093,527324,6.07363182441927,0,0,0,0
8/321/52,363600,525400,0,0,0.270246087112748,7.78802747791953,0
8/321/53,365100,527200,12.8493232414461,0.0192948716390186,0.95983955077976,0,0
8/321/54,365451,526163,0.326539345398885,0,0.198025150039513,0,0
8/321/55,363700,525900,0,0,0.868980952526335,0,0
8/322/2,368200,526900,0,0,0.23995988769494,0,0
8/322/3,367100,526300,1.25717647978571,0,2.10139629806637,0,0
8/322/9,366400,525500,5.99199698806955,0,1.53760704736563,0,0
8/322/52,366500,524800,3.26539345398885,0,4.80851658448889,0,0
31/193/9015,409000,581000,0.163269672699443,0.0385897432780373,0.274905502407795,23.3640824337586,0
31/338/351,384600,550300,0.391847214478662,0.0192948716390186,4.85744044508689,18.1720641151456,0
8/324/14,365100,529000,4.35930026107512,0,12.8972615366911,0,0
31/367/9021,381766,567431,0.163269672699443,0.0192948716390186,0.326159070653316,2.59600915930651,0
8/324/49,367264,530092,2.67762263227086,0,2.72575794760271,0,0
12/31/499,417000,537700,0.065307869079777,0.289423074585279,0.00232970764752369,0,0
8/325/6,377600,506700,0,0,11.3340277052027,0,0
8/325/10,377500,506900,0,0,9.75914533547673,0,0
8/327/12,383900,510800,3.37968222487846,0,6.37175041597729,0,0
8/327/16,382600,514300,0.326539345398885,0,0.589416034823493,0,0
8/327/31,382400,512600,1.60004279245454,0,0.906256274886714,0,0
8/327/38,382800,513500,1.86127426877365,0,2.30408086340093,0,0
8/327/55,383200,513700,0.0979618036196656,0,0,2.59600915930651,0
8/327/66,386500,513500,0.9959450034666,0,1.89871173273181,0,0
8/327/129,384400,512000,0,0,0.242289595342463,0,0
8/328/1,368500,515100,3.8368373084369,0,0,0,0
8/330/23,375100,510900,2.88987320678014,0,0,0,0
8/330/54,371900,511000,3.46131706122818,0,3.60405773071914,0,0
8/331/4,361200,527100,0.669405658067715,0,0.256267841227606,0,0
8/331/6,361000,527400,3.4286631266883,0,1.79853430388829,0,0
8/331/8,361096,527091,0.571443854448049,12.8696793832254,0.207343980629608,0,0
8/331/11,361100,526100,2.64496869773097,0,1.88007407155162,0,0
8/333/3,373000,513800,1.81229336696381,0,1.21377768435984,0,0
8/333/35,371146,518902,2.93885410858997,0,5.57033098522914,0,0
8/333/82,373100,516100,2.67762263227086,0,0.619702234241301,0,0
8/333/85,378041,519584,0.946964101656767,0.154358973112149,0.78278176956796,0,0
8/333/91,373600,515700,2.82456533770036,0,0,0,0
8/334/8,377100,504500,0.261231476319108,0,1.12524879375394,0,0
